name,exonCount,geneType,txLen
ENST00000371191.1,11,protein_coding,590267
ENST00000407417.3,11,protein_coding,378312
ENST00000479364.1,8,protein_coding,324961
ENST00000371189.4,12,protein_coding,373701
ENST00000403491.3,11,protein_coding,380486
ENST00000371187.3,10,protein_coding,373774
ENST00000485903.2,10,protein_coding,372802
ENST00000371185.2,10,protein_coding,372779
ENST00000371184.2,7,protein_coding,372734
ENST00000371146.1,9,protein_coding,15499
ENST00000339950.4,9,protein_coding,15150
ENST00000371092.3,10,protein_coding,82422
ENST00000271002.10,9,protein_coding,82443
ENST00000283568.8,8,protein_coding,75595
ENST00000371073.2,27,protein_coding,222314
ENST00000290039.5,27,protein_coding,222267
ENST00000495994.1,26,protein_coding,187139
ENST00000344610.8,20,protein_coding,205606
ENST00000371059.3,20,protein_coding,209771
ENST00000371060.3,20,protein_coding,214777
ENST00000349533.6,20,protein_coding,220908
ENST00000406510.3,6,protein_coding,216383
ENST00000462765.1,13,protein_coding,84580
ENST00000371058.1,18,protein_coding,60689
ENST00000310961.5,27,protein_coding,555091
ENST00000370958.1,8,protein_coding,306555
ENST00000035383.5,25,protein_coding,362069
ENST00000415775.2,21,protein_coding,361808
ENST00000357731.5,7,protein_coding,886795
ENST00000306821.3,7,protein_coding,697987
ENST00000434200.1,6,protein_coding,875043
ENST00000467479.1,4,protein_coding,402972
ENST00000328299.3,5,protein_coding,559883
ENST00000370812.3,11,protein_coding,130437
ENST00000445065.1,8,protein_coding,130441
ENST00000370813.5,9,protein_coding,127426
ENST00000370723.1,25,protein_coding,685202
ENST00000370727.1,25,protein_coding,685202
ENST00000370725.1,26,protein_coding,685202
ENST00000370721.1,25,protein_coding,685202
ENST00000370728.1,25,protein_coding,686256
ENST00000370730.1,24,protein_coding,686256
ENST00000469377.2,9,protein_coding,686237
ENST00000535924.2,7,protein_coding,259770
ENST00000483110.1,7,protein_coding,259766
ENST00000370563.3,14,protein_coding,33677
ENST00000263723.5,8,protein_coding,25916
ENST00000458097.1,4,antisense,147692
ENST00000370454.4,3,protein_coding,86462
ENST00000479252.1,4,protein_coding,131447
ENST00000370453.5,4,protein_coding,300111
ENST00000370310.4,5,protein_coding,119334
ENST00000370238.3,7,protein_coding,24206
ENST00000467772.1,6,protein_coding,14147
ENST00000452846.1,4,antisense,35705
ENST00000438509.1,4,antisense,35243
ENST00000413825.2,3,protein_coding,30892
ENST00000451675.1,5,protein_coding,30799
ENST00000447916.1,6,lincRNA,189892
ENST00000370073.2,8,protein_coding,341822
ENST00000370071.2,8,protein_coding,341822
ENST00000370074.4,6,protein_coding,341847
ENST00000370070.2,8,protein_coding,341454
ENST00000370061.3,8,protein_coding,341454
ENST00000370072.3,8,protein_coding,341454
ENST00000542803.1,9,protein_coding,341454
ENST00000370068.1,8,protein_coding,341589
ENST00000370067.1,7,protein_coding,342420
ENST00000370065.1,6,protein_coding,332247
ENST00000370066.1,7,protein_coding,332247
ENST00000369851.4,9,protein_coding,45743
ENST00000369770.3,5,protein_coding,37895
ENST00000485317.1,3,protein_coding,5419
ENST00000356415.1,8,protein_coding,170896
ENST00000436150.2,9,protein_coding,93697
ENST00000369709.3,8,protein_coding,96909
ENST00000545460.1,8,protein_coding,92341
ENST00000494982.1,9,protein_coding,85228
ENST00000339083.7,6,protein_coding,6298
ENST00000369633.2,6,protein_coding,5930
ENST00000369642.3,5,protein_coding,6304
ENST00000285735.2,6,protein_coding,5995
ENST00000369638.2,6,protein_coding,5861
ENST00000369637.1,6,protein_coding,5813
ENST00000369636.2,5,protein_coding,5796
ENST00000369632.2,6,protein_coding,5560
ENST00000471038.2,6,protein_coding,8820
ENST00000606505.1,8,protein_coding,8708
ENST00000393357.2,18,protein_coding,61954
ENST00000369596.2,17,protein_coding,61954
ENST00000369598.1,18,protein_coding,62134
ENST00000369600.1,18,protein_coding,62233
ENST00000369604.1,19,protein_coding,62272
ENST00000357783.2,15,protein_coding,55654
ENST00000447664.2,11,protein_coding,52808
ENST00000349139.5,27,protein_coding,36775
ENST00000256646.2,34,protein_coding,158065
ENST00000602566.1,6,protein_coding,61436
ENST00000445753.1,4,lincRNA,96772
ENST00000417171.1,9,protein_coding,36344
ENST00000451928.2,7,protein_coding,36069
ENST00000344770.2,9,protein_coding,20812
ENST00000381475.3,4,lincRNA,96807
ENST00000369135.4,12,protein_coding,72921
ENST00000368752.4,2,protein_coding,70892
ENST00000368533.3,8,protein_coding,27865
ENST00000469717.1,5,protein_coding,26789
ENST00000330188.9,8,protein_coding,26842
ENST00000341485.5,8,protein_coding,26845
ENST00000341372.3,8,protein_coding,26816
ENST00000328159.4,9,protein_coding,26426
ENST00000271850.7,9,protein_coding,34741
ENST00000302206.5,8,protein_coding,20601
ENST00000368531.2,8,protein_coding,24522
ENST00000323144.7,8,protein_coding,24495
ENST00000368530.2,10,protein_coding,24747
ENST00000361813.5,22,protein_coding,33602
ENST00000368267.5,10,protein_coding,33092
ENST00000367972.4,7,protein_coding,13129
ENST00000271450.6,7,protein_coding,14139
ENST00000420696.2,9,protein_coding,292197
ENST00000401534.1,7,protein_coding,261761
ENST00000559240.1,7,protein_coding,286854
ENST00000367897.1,8,protein_coding,287133
ENST00000540236.1,9,protein_coding,289580
ENST00000560641.1,9,protein_coding,221096
ENST00000474046.1,5,protein_coding,56448
ENST00000400982.2,4,pseudogene,11219
ENST00000367759.4,22,protein_coding,129295
ENST00000367758.3,15,protein_coding,63281
ENST00000358155.4,21,protein_coding,571236
ENST00000367733.2,15,protein_coding,291895
ENST00000355305.5,21,protein_coding,566855
ENST00000367731.1,20,protein_coding,571218
ENST00000520906.1,16,protein_coding,469756
ENST00000432694.2,5,lincRNA,288111
ENST00000239468.2,3,protein_coding,10957
ENST00000404377.3,3,protein_coding,11004
ENST00000239462.4,19,protein_coding,80209
ENST00000361539.4,8,protein_coding,110926
ENST00000448150.3,18,protein_coding,385781
ENST00000367649.3,18,protein_coding,379282
ENST00000465723.1,6,protein_coding,179095
ENST00000539888.1,15,protein_coding,60018
ENST00000535686.1,14,protein_coding,60066
ENST00000540564.1,15,protein_coding,60207
ENST00000367619.3,16,protein_coding,64879
ENST00000475338.2,6,protein_coding,126406
ENST00000367595.3,8,protein_coding,214725
ENST00000542961.1,20,protein_coding,104505
ENST00000294854.8,22,protein_coding,110413
ENST00000456731.2,22,protein_coding,79561
ENST00000367537.3,24,protein_coding,81716
ENST00000508461.1,22,protein_coding,79764
ENST00000347615.2,22,protein_coding,81685
ENST00000507469.1,23,protein_coding,81686
ENST00000515829.2,22,protein_coding,81664
ENST00000367468.5,10,protein_coding,8637
ENST00000490885.2,9,protein_coding,7531
ENST00000430776.2,6,lincRNA,135766
ENST00000367405.4,10,protein_coding,46863
ENST00000467322.1,11,protein_coding,42080
ENST00000367385.4,10,protein_coding,165458
ENST00000538004.1,10,protein_coding,162525
ENST00000367383.1,4,protein_coding,99411
ENST00000417895.1,4,protein_coding,36812
ENST00000452199.1,4,lincRNA,244710
ENST00000608999.1,24,protein_coding,244008
ENST00000336894.4,24,protein_coding,239868
ENST00000480184.1,10,protein_coding,89523
ENST00000356764.2,9,protein_coding,89515
ENST00000414007.1,19,protein_coding,80418
ENST00000419187.2,19,protein_coding,74896
ENST00000541565.1,10,protein_coding,348043
ENST00000413764.2,12,protein_coding,348043
ENST00000391905.3,12,protein_coding,302258
ENST00000537898.1,11,protein_coding,347389
ENST00000545154.1,11,protein_coding,347389
ENST00000545781.1,10,protein_coding,345533
ENST00000308852.6,11,protein_coding,345455
ENST00000261458.3,12,protein_coding,347342
ENST00000367010.1,12,protein_coding,346995
ENST00000367009.1,6,protein_coding,236712
ENST00000452024.2,2,lincRNA,6962
ENST00000478275.1,2,protein_coding,12338
ENST00000243440.1,3,protein_coding,13568
ENST00000456240.1,2,lincRNA,63172
ENST00000366943.2,73,protein_coding,800503
ENST00000307340.3,72,protein_coding,800503
ENST00000361525.3,9,protein_coding,586389
ENST00000366940.2,9,protein_coding,634503
ENST00000361395.2,8,protein_coding,436420
ENST00000366938.2,8,protein_coding,436420
ENST00000359162.2,8,protein_coding,586352
ENST00000493603.1,9,protein_coding,634501
ENST00000463665.1,8,protein_coding,571478
ENST00000487276.1,9,protein_coding,434181
ENST00000493748.1,9,protein_coding,570102
ENST00000471371.1,3,protein_coding,227407
ENST00000366923.3,32,protein_coding,78058
ENST00000416510.1,4,lincRNA,298266
ENST00000445597.2,61,protein_coding,503008
ENST00000430092.1,84,protein_coding,469641
ENST00000439375.2,83,protein_coding,446567
ENST00000493030.2,5,protein_coding,12232
ENST00000284551.6,6,protein_coding,13165
ENST00000460651.1,4,protein_coding,7643
ENST00000366699.3,5,protein_coding,11267
ENST00000261396.3,26,protein_coding,67044
ENST00000537506.1,27,protein_coding,66461
ENST00000366678.3,6,protein_coding,9160
ENST00000602962.1,14,protein_coding,290592
ENST00000448058.1,2,antisense,20799
ENST00000389794.3,53,protein_coding,205880
ENST00000389793.2,53,protein_coding,205871
ENST00000536965.1,22,protein_coding,124314
ENST00000366577.5,33,protein_coding,108672
ENST00000418145.2,8,protein_coding,21232
ENST00000535889.1,32,protein_coding,102453
ENST00000450451.1,12,antisense,66147
ENST00000331110.7,18,protein_coding,376315
ENST00000348120.2,15,protein_coding,580262
ENST00000366563.1,18,protein_coding,581401
ENST00000366564.1,17,protein_coding,581571
ENST00000366565.1,18,protein_coding,581716
ENST00000446183.2,18,protein_coding,433059
ENST00000366562.4,16,protein_coding,579614
ENST00000401882.1,14,protein_coding,555130
ENST00000407727.1,17,protein_coding,555130
ENST00000407071.2,15,protein_coding,548142
ENST00000541742.1,12,protein_coding,668073
ENST00000490107.1,12,protein_coding,757916
ENST00000388985.4,12,protein_coding,757655
ENST00000462139.1,2,protein_coding,16441
ENST00000294753.4,9,protein_coding,34332
ENST00000366498.2,10,protein_coding,31423
ENST00000317861.1,1,protein_coding,939
ENST00000424587.2,4,lincRNA,31142
ENST00000423796.1,2,lincRNA,7140
ENST00000414688.1,2,lincRNA,8859
ENST00000445118.2,5,processed_transcript,31839
ENST00000330388.2,8,protein_coding,4270
ENST00000338338.5,4,protein_coding,1766
ENST00000341832.6,20,protein_coding,17615
ENST00000340677.5,20,protein_coding,17836
ENST00000407249.3,21,protein_coding,17836
ENST00000317673.7,21,protein_coding,17836
ENST00000341426.5,12,protein_coding,27239
ENST00000341991.3,12,protein_coding,27559
ENST00000378625.1,14,protein_coding,28838
ENST00000344463.4,14,protein_coding,27232
ENST00000492768.1,5,protein_coding,21832
ENST00000378536.4,7,protein_coding,81425
ENST00000478223.2,3,protein_coding,55381
ENST00000409119.1,7,protein_coding,5497
ENST00000355716.4,8,protein_coding,7464
ENST00000442392.2,4,protein_coding,2752
ENST00000401094.6,9,protein_coding,150872
ENST00000401095.3,7,protein_coding,133430
ENST00000512462.1,16,protein_coding,195995
ENST00000294599.4,30,protein_coding,41529
ENST00000356575.4,37,protein_coding,121570
ENST00000294600.2,12,protein_coding,19247
ENST00000378209.3,7,protein_coding,28149
ENST00000378190.3,6,protein_coding,123063
ENST00000378191.4,6,protein_coding,137490
ENST00000478423.2,26,protein_coding,129614
ENST00000378156.4,30,protein_coding,129654
ENST00000378097.1,16,protein_coding,108831
ENST00000352527.1,15,protein_coding,74144
ENST00000341524.1,16,protein_coding,74144
ENST00000164247.1,16,protein_coding,66897
ENST00000378083.3,16,protein_coding,55259
ENST00000608083.1,9,protein_coding,129093
ENST00000377855.2,9,protein_coding,121541
ENST00000545482.1,8,protein_coding,129106
ENST00000361521.4,9,protein_coding,130119
ENST00000377748.1,22,protein_coding,53918
ENST00000377732.1,21,protein_coding,29575
ENST00000400915.3,22,protein_coding,30269
ENST00000377740.3,22,protein_coding,52940
ENST00000377737.2,22,protein_coding,52887
ENST00000537245.1,22,protein_coding,29592
ENST00000544978.1,22,protein_coding,29582
ENST00000476163.1,4,protein_coding,102738
ENST00000557126.1,4,protein_coding,102375
ENST00000377532.3,21,protein_coding,60524
ENST00000361923.2,21,protein_coding,60475
ENST00000377507.3,8,protein_coding,21020
ENST00000445300.1,3,lincRNA,95965
ENST00000337907.3,24,protein_coding,465068
ENST00000377464.1,17,protein_coding,173533
ENST00000400907.2,15,protein_coding,302428
ENST00000400908.2,23,protein_coding,463017
ENST00000377411.4,4,protein_coding,28866
ENST00000414642.2,3,protein_coding,24794
ENST00000377403.2,5,protein_coding,36563
ENST00000602477.1,5,protein_coding,28055
ENST00000377298.4,19,protein_coding,95501
ENST00000361311.4,18,protein_coding,94957
ENST00000377288.3,18,protein_coding,95499
ENST00000377263.1,6,protein_coding,61988
ENST00000400904.3,5,protein_coding,60228
ENST00000253251.8,27,protein_coding,147536
ENST00000377157.3,27,protein_coding,148274
ENST00000343090.6,28,protein_coding,147644
ENST00000377093.4,21,protein_coding,97793
ENST00000263934.6,47,protein_coding,167133
ENST00000377086.1,49,protein_coding,169988
ENST00000377083.1,21,protein_coding,75994
ENST00000377081.1,48,protein_coding,149348
ENST00000356607.4,9,protein_coding,155872
ENST00000538836.1,8,protein_coding,155365
ENST00000377022.3,21,protein_coding,160045
ENST00000344008.5,16,protein_coding,149438
ENST00000478728.2,3,protein_coding,33176
ENST00000377008.4,12,protein_coding,35565
ENST00000377004.4,13,protein_coding,35565
ENST00000304457.7,24,protein_coding,33252
ENST00000376936.4,25,protein_coding,33264
ENST00000544779.1,23,protein_coding,33217
ENST00000485606.1,3,protein_coding,1923
ENST00000361445.4,58,protein_coding,155973
ENST00000376637.3,4,protein_coding,14627
ENST00000400895.2,6,protein_coding,14193
ENST00000491346.1,6,protein_coding,14347
ENST00000376629.4,5,protein_coding,14623
ENST00000376627.2,7,protein_coding,14426
ENST00000314340.5,5,protein_coding,14611
ENST00000452018.2,6,protein_coding,14237
ENST00000510878.1,4,protein_coding,14459
ENST00000444836.1,18,protein_coding,33334
ENST00000235329.5,19,protein_coding,33197
ENST00000263932.2,15,protein_coding,80831
ENST00000417814.2,14,protein_coding,79648
ENST00000413146.2,5,protein_coding,18309
ENST00000479933.2,4,protein_coding,18274
ENST00000358136.3,70,protein_coding,281976
ENST00000356315.4,69,protein_coding,281976
ENST00000496628.1,19,protein_coding,144375
ENST00000376221.1,4,protein_coding,22532
ENST00000376192.5,4,protein_coding,119253
ENST00000449215.1,2,lincRNA,1228
ENST00000376030.2,15,protein_coding,519340
ENST00000503743.1,9,protein_coding,467081
ENST00000422387.2,8,protein_coding,469439
ENST00000361144.5,8,protein_coding,144023
ENST00000400798.2,8,protein_coding,138356
ENST00000400797.3,8,protein_coding,119879
ENST00000310916.3,6,processed_transcript,36512
ENST00000375999.3,33,protein_coding,141109
ENST00000417793.1,30,protein_coding,150855
ENST00000358897.4,31,protein_coding,150855
ENST00000375998.4,30,protein_coding,145745
ENST00000375838.1,13,protein_coding,39783
ENST00000375847.3,15,protein_coding,44921
ENST00000375849.1,15,protein_coding,49280
ENST00000480945.1,10,protein_coding,51545
ENST00000375759.3,15,protein_coding,92597
ENST00000375592.3,10,protein_coding,105616
ENST00000430580.2,29,protein_coding,51169
ENST00000492551.1,11,pseudogene,28940
ENST00000375534.3,8,protein_coding,3775
ENST00000490075.1,6,protein_coding,6120
ENST00000375535.3,9,protein_coding,6334
ENST00000438542.1,9,protein_coding,6171
ENST00000375486.4,16,protein_coding,52675
ENST00000444885.2,13,protein_coding,51011
ENST00000375481.1,11,protein_coding,40405
ENST00000375471.4,16,protein_coding,40880
ENST00000537499.1,6,protein_coding,11065
ENST00000413717.2,5,protein_coding,11728
ENST00000536552.1,5,protein_coding,11754
ENST00000434513.1,27,protein_coding,151320
ENST00000361221.3,29,protein_coding,158035
ENST00000452522.1,28,protein_coding,158040
ENST00000375415.1,27,protein_coding,117097
ENST00000375420.3,17,protein_coding,51562
ENST00000469726.1,20,protein_coding,82773
ENST00000375408.3,20,protein_coding,79553
ENST00000167825.4,18,protein_coding,79521
ENST00000375406.1,3,protein_coding,71751
ENST00000251296.1,10,protein_coding,270737
ENST00000375375.3,8,protein_coding,105133
ENST00000420770.2,9,protein_coding,117346
ENST00000400661.3,8,protein_coding,104579
ENST00000455833.2,9,protein_coding,52406
ENST00000606379.1,1,3prime_overlapping_ncrna,3402
ENST00000375217.2,106,protein_coding,135747
ENST00000375226.2,106,protein_coding,135747
ENST00000375267.2,107,protein_coding,135747
ENST00000375254.3,106,protein_coding,135771
ENST00000401084.2,9,protein_coding,146800
ENST00000264203.3,9,protein_coding,146738
ENST00000375142.1,10,protein_coding,146663
ENST00000433834.1,9,protein_coding,145306
ENST00000264202.6,9,protein_coding,142726
ENST00000482808.1,5,protein_coding,111314
ENST00000294543.6,16,protein_coding,117705
ENST00000375127.1,16,protein_coding,117105
ENST00000489814.1,5,protein_coding,56178
ENST00000375122.2,15,protein_coding,117657
ENST00000426428.1,12,lincRNA,68204
ENST00000312239.5,13,protein_coding,44028
ENST00000487117.1,3,protein_coding,5092
ENST00000375000.1,5,protein_coding,10986
ENST00000264211.8,31,protein_coding,244525
ENST00000400422.1,34,protein_coding,370365
ENST00000602326.1,35,protein_coding,370368
ENST00000374935.3,30,protein_coding,244238
ENST00000374937.3,32,protein_coding,243751
ENST00000536266.1,26,protein_coding,165789
ENST00000374933.3,5,protein_coding,48288
ENST00000544689.1,6,protein_coding,48132
ENST00000356916.3,15,protein_coding,233496
ENST00000374927.4,10,protein_coding,147962
ENST00000415912.2,19,protein_coding,128258
ENST00000539907.1,10,protein_coding,69045
ENST00000540617.1,11,protein_coding,69045
ENST00000374840.3,12,protein_coding,69041
ENST00000468526.1,5,protein_coding,54815
ENST00000374832.1,12,protein_coding,26734
ENST00000425315.2,11,protein_coding,24328
ENST00000344642.2,5,protein_coding,12957
ENST00000486901.1,11,protein_coding,8469
ENST00000374695.3,97,protein_coding,115053
ENST00000400259.1,6,protein_coding,40297
ENST00000344548.3,7,protein_coding,40277
ENST00000315554.8,6,protein_coding,38116
ENST00000498236.1,7,protein_coding,37304
ENST00000421089.2,7,protein_coding,39079
ENST00000404138.1,19,protein_coding,79307
ENST00000375647.4,18,protein_coding,79288
ENST00000374651.4,16,protein_coding,75384
ENST00000374627.1,15,protein_coding,138575
ENST00000465676.1,7,protein_coding,96239
ENST00000418342.1,4,protein_coding,84836
ENST00000302291.4,5,protein_coding,93779
ENST00000314174.5,3,protein_coding,78391
ENST00000450454.2,11,protein_coding,43680
ENST00000361729.2,7,protein_coding,24791
ENST00000536471.1,3,protein_coding,88533
ENST00000439239.2,4,antisense,45965
ENST00000327535.1,7,protein_coding,33105
ENST00000327575.2,6,protein_coding,30163
ENST00000374421.3,7,protein_coding,30119
ENST00000374419.1,6,protein_coding,28960
ENST00000374418.3,4,protein_coding,25871
ENST00000437965.1,5,antisense,14346
ENST00000374399.4,12,protein_coding,53514
ENST00000003912.3,13,protein_coding,57174
ENST00000358028.4,8,protein_coding,39012
ENST00000339255.2,12,protein_coding,50497
ENST00000428131.1,7,protein_coding,34550
ENST00000374392.2,4,protein_coding,53215
ENST00000568143.1,1,lincRNA,2443
ENST00000294413.7,10,protein_coding,58597
ENST00000374352.2,10,protein_coding,49190
ENST00000413854.1,8,protein_coding,58623
ENST00000243186.6,9,protein_coding,58623
ENST00000455194.1,8,protein_coding,58623
ENST00000425135.1,8,protein_coding,58623
ENST00000340849.4,7,protein_coding,58488
ENST00000349320.3,12,protein_coding,67881
ENST00000346452.4,7,protein_coding,58430
ENST00000349438.4,9,protein_coding,58375
ENST00000399763.3,6,protein_coding,69313
ENST00000399766.3,9,protein_coding,69313
ENST00000374343.4,11,protein_coding,69290
ENST00000374332.4,12,protein_coding,168740
ENST00000263979.3,13,protein_coding,166601
ENST00000473891.1,5,protein_coding,75183
ENST00000374329.1,11,protein_coding,74849
ENST00000270792.5,3,protein_coding,2341
ENST00000319041.6,2,protein_coding,1329
ENST00000326279.6,4,protein_coding,18945
ENST00000254231.4,5,protein_coding,18903
ENST00000374168.2,22,protein_coding,45259
ENST00000374166.4,22,protein_coding,45237
ENST00000526792.1,22,protein_coding,43214
ENST00000374162.2,21,protein_coding,43104
ENST00000530003.1,21,protein_coding,31903
ENST00000374076.4,6,protein_coding,14241
ENST00000608611.1,6,protein_coding,14153
ENST00000430629.2,9,protein_coding,85940
ENST00000536657.1,8,protein_coding,81872
ENST00000247087.5,6,protein_coding,69557
ENST00000374011.2,7,protein_coding,69330
ENST00000480033.2,3,protein_coding,45724
ENST00000605846.1,1,lincRNA,425
ENST00000373839.3,14,protein_coding,130768
ENST00000493669.1,17,protein_coding,127414
ENST00000398958.2,12,protein_coding,33254
ENST00000373833.6,13,protein_coding,33244
ENST00000373824.4,6,protein_coding,40217
ENST00000263974.4,6,protein_coding,39905
ENST00000373795.4,6,protein_coding,34245
ENST00000546138.1,4,protein_coding,33754
ENST00000466448.1,5,protein_coding,33212
ENST00000345512.3,31,protein_coding,89146
ENST00000373779.3,30,protein_coding,90285
ENST00000356870.3,31,protein_coding,90267
ENST00000323874.8,31,protein_coding,90267
ENST00000428026.2,30,protein_coding,90265
ENST00000460170.2,31,protein_coding,90031
ENST00000415600.2,14,protein_coding,33156
ENST00000373765.4,8,protein_coding,12311
ENST00000414532.2,4,antisense,8241
ENST00000454613.1,4,antisense,8056
ENST00000610043.1,6,antisense,15728
ENST00000609625.1,4,antisense,15856
ENST00000609549.1,4,antisense,15856
ENST00000581333.1,2,antisense,4678
ENST00000608332.1,4,antisense,15145
