txStart	txEnd	name	geneType
212858254	212899363	FLVCR1	protein_coding
213895433	213966931	PROX1-AS1	processed_transcript
216503245	217089645	ESRRG	protein_coding
216503253	217137754	ESRRG	protein_coding
216506787	217076889	ESRRG	protein_coding
220148292	220272454	RAB3GAP2	protein_coding
230642566	230693982	COG2	protein_coding
240091879	240475189	FMN2	protein_coding
240775514	241357085	RGS7	protein_coding
245154984	245703126	KIF26B	protein_coding
258143	268807	AP006222.2	lincRNA
594307	827769	RP5-857K21.4	lincRNA
779055	804875	RP11-206L10.9	lincRNA
1541672	1574869	SSU72	protein_coding
1702880	1724324	CDK11A	protein_coding
1785284	1891117	GNB1	protein_coding
1785284	1891117	GNB1	protein_coding
1921950	2003837	CFAP74	protein_coding
2476314	2505525	PLCH2	protein_coding
2590925	2629494	MMEL1	protein_coding
3652564	3733292	TP73	protein_coding
3652564	3736200	TP73	protein_coding
4654731	4777794	AJAP1	protein_coding
5879504	5992473	NPHP4	protein_coding
6026319	6098561	KCNAB2	protein_coding
6785490	6887865	CAMTA1	protein_coding
6785517	6872019	CAMTA1	protein_coding
9035106	9069716	SLC2A5	protein_coding
9040079	9069604	SLC2A5	protein_coding
9148010	9182392	MIR34AHG	lincRNA
9292879	9369532	SPSB1	protein_coding
9539481	9585179	SLC25A33	protein_coding
10033595	10181239	UBE4B	protein_coding
10210804	10308597	KIF1B	protein_coding
10211615	10381603	KIF1B	protein_coding
10636603	10796648	CASZ1	protein_coding
11785722	11803245	MTHFR	protein_coding
11788293	11805413	MTHFR	protein_coding
12230066	12512047	VPS13D	protein_coding
12938604	13056491	PRAMEF6	protein_coding
13049475	13158092	PRAMEF26	protein_coding
13474976	13514048	LRRC38	protein_coding
13704854	13788059	PRDM2	protein_coding
13749402	13788079	PRDM2	protein_coding
15153767	15220393	TMEM51	protein_coding
15326679	15343876	RP3-467K16.2	antisense
16246838	16352454	FBXO42	protein_coding
16367264	16398142	SZRD1	protein_coding
17018721	17054170	SDHB	protein_coding
17406759	17439724	RCC2	protein_coding
18480981	18486126	KLHDC7A	protein_coding
18631520	18748866	PAX7	protein_coding
20290918	20354263	VWA5B1	protein_coding
20664013	20717491	KIF17	protein_coding
21678578	21783606	USP48	protein_coding
21727850	21783606	USP48	protein_coding
23310332	23344295	HNRNPR	protein_coding
23429721	23484179	ASAP3	protein_coding
24356998	24415097	STPG1	protein_coding
24502350	24537019	RCAN3	protein_coding
24502896	24537019	RCAN3	protein_coding
24745356	24844324	CLIC4	protein_coding
24899510	24965010	RUNX3	protein_coding
24899517	24929877	RUNX3	protein_coding
25272547	25329211	RHD	protein_coding
25272547	25329211	RHD	protein_coding
25813972	25823744	RP1-317E23.6	protein_coding
25820827	25832938	MTFR1L	protein_coding
26696032	26782104	ARID1A	protein_coding
26729379	26774901	ARID1A	protein_coding
26993706	27000898	TRNP1	protein_coding
27098814	27154910	SLC9A1	protein_coding
27970346	28088637	EYA3	protein_coding
27977272	28088564	EYA3	protein_coding
28149672	28193873	PTAFR	protein_coding
28369602	28500369	PHACTR4	protein_coding
28887123	29117114	EPB41	protein_coding
28893740	29120046	EPB41	protein_coding
30013951	30037612	RP11-111I12.1	lincRNA
30932843	31065684	PUM1	protein_coding
30933079	31065785	PUM1	protein_coding
31296981	31364953	ZCCHC17	protein_coding
31297035	31364552	ZCCHC17	protein_coding
32366295	32394441	BSDC1	protein_coding
32366300	32394441	BSDC1	protein_coding
32741884	32774970	KIAA1522	protein_coding
32894594	32901389	TMEM54	protein_coding
33007983	33036870	AK2	protein_coding
33010754	33036886	AK2	protein_coding
33013043	33036877	AK2	protein_coding
33256572	33300719	ZNF362	protein_coding
35869807	35920958	AGO1	protein_coding
35931077	36072500	AGO3	protein_coding
36156201	36180840	MAP7D1	protein_coding
36306392	36321347	SH3D21	protein_coding
36417909	36450433	OSCP1	protein_coding
36417942	36440975	OSCP1	protein_coding
36428298	36450443	OSCP1	protein_coding
40626213	40665445	RIMS3	protein_coding
40692012	40771106	NFYC	protein_coding
41027199	41161481	SCMH1	protein_coding
41027199	41161481	SCMH1	protein_coding
41027201	41160898	SCMH1	protein_coding
41027201	41242116	SCMH1	protein_coding
41027201	41242116	SCMH1	protein_coding
43172329	43254355	CFAP57	protein_coding
43383916	43389808	MED8	protein_coding
43707532	43931165	ST3GAL3	protein_coding
43707546	43931159	ST3GAL3	protein_coding
43707572	43930221	ST3GAL3	protein_coding
43736262	43930202	ST3GAL3	protein_coding
43736262	43930202	ST3GAL3	protein_coding
43736262	43930221	ST3GAL3	protein_coding
43736262	43930221	ST3GAL3	protein_coding
43736262	43930221	ST3GAL3	protein_coding
44405287	44651724	RNF220	protein_coding
44850521	44986722	EIF2B3	protein_coding
45583987	45618904	NASP	protein_coding
46247731	46278472	RAD54L	protein_coding
46635040	46668427	ATPAF1	protein_coding
47760527	47996895	TRABD2B	protein_coding
48727522	48776918	BEND5	protein_coding
50106264	50201399	ELAVL4	protein_coding
50108932	50203786	ELAVL4	protein_coding
51102233	51148086	C1orf185	protein_coding
51236270	51273455	RNF11	protein_coding
51617108	51788469	OSBPL9	protein_coding
51730033	51788469	OSBPL9	protein_coding
52142093	52346685	ZFYVE9	protein_coding
52142373	52346515	ZFYVE9	protein_coding
52216379	52346686	ZFYVE9	protein_coding
52927317	52994232	SCP2	protein_coding
53062212	53085501	PODN	protein_coding
53062212	53085502	PODN	protein_coding
54226919	54406223	SSBP3	protein_coding
54641753	54700208	MROH7	protein_coding
54784550	54801198	TTC22	protein_coding
55581036	55735002	RP11-90C4.1	lincRNA
55581060	55832572	RP11-90C4.1	lincRNA
59553917	59762728	FGGY	protein_coding
59893307	59926790	CYP2J2	protein_coding
59990393	60073770	C1orf87	protein_coding
60540249	60601677	RP11-776H12.1	lincRNA
60865258	61455525	NFIA	protein_coding
61081861	61455562	NFIA	protein_coding
61082722	61455524	NFIA	protein_coding
61952311	62117393	INADL	protein_coding
62455012	62688264	DOCK7	protein_coding
62455413	62688264	DOCK7	protein_coding
62455413	62688264	DOCK7	protein_coding
63170156	63315986	LINC00466	processed_transcript
63174471	63317274	LINC00466	processed_transcript
63257021	63317231	LINC00466	processed_transcript
64470791	64693058	CACHD1	protein_coding
64745094	64833232	RAVER2	protein_coding
65420651	65630422	LEPR	protein_coding
66837602	66924840	WDR78	protein_coding
66924958	66986670	MIER1	protein_coding
66924958	66986670	MIER1	protein_coding
66930242	66986670	MIER1	protein_coding
67307363	67396900	IL12RB2	protein_coding
67955404	68026762	GNG12-AS1	antisense
69055897	69185003	RP11-424D14.1	lincRNA
69568449	69875004	LRRC7	protein_coding
70706452	70786468	RP5-952N6.1	lincRNA
70852352	71047808	PTGER3	protein_coding
70852352	71047808	PTGER3	protein_coding
71081323	71237723	ZRANB2-AS2	processed_transcript
71794231	71837012	NEGR1-IT1	sense_intronic
74568110	74673738	ERICH3	protein_coding
74705481	74733018	CRYZ	protein_coding
75796881	75913238	MSH4	protein_coding
77282050	77559969	AK5	protein_coding
77695990	77759852	USP33	protein_coding
77779623	77879539	FAM73A	protein_coding
78229598	78293890	MGC27382	processed_transcript
78303883	78539749	PTGFR	protein_coding
81513879	81557702	RP5-837I24.2	antisense
81800396	81992196	ADGRL2	protein_coding
81800396	81992422	ADGRL2	protein_coding
81800396	81992422	ADGRL2	protein_coding
84643706	84690468	SSX2IP	protein_coding
85062320	85133137	WDR63	protein_coding
85318480	85578250	DDAH1	protein_coding
86862724	86914134	SEP15	protein_coding
87129764	87168505	LINC01140	lincRNA
88684550	88806268	PKN2	protein_coding
88852931	88891618	GTF2B	protein_coding
89633139	89933250	RP11-302M6.4	protein_coding
91680344	91886279	TGFBR3	protein_coding
91949370	92014421	BRDT	protein_coding
92842166	92961500	FAM69A	protein_coding
93180362	93278607	CCDC18	protein_coding
93448281	93551125	FNBP1L	protein_coding
93992836	94121132	ABCA4	protein_coding
96254068	96374125	RP5-898J17.1	lincRNA
96721809	96814793	PTBP2	protein_coding
97719757	97921049	DPYD	protein_coding
98890244	99005032	PLPPR5	protein_coding
99472331	99493149	RP11-413P11.1	lincRNA
99969788	100026892	SLC35A3	protein_coding
100266248	100291771	RTCA	protein_coding
100345024	100499453	CDC14A	protein_coding
101025918	101087171	RP11-421L21.3	antisense
101802573	101997030	OLFM3	protein_coding
102876466	103108491	COL11A1	protein_coding
102876466	103108496	COL11A1	protein_coding
105956693	106048753	RP5-947P14.1	lincRNA
106818238	106838167	RP11-233E12.1	lincRNA
107140006	107481853	NTNG1	protein_coding
108648289	108661122	HENMT1	protein_coding
108746687	108809526	STXBP3	protein_coding
108837659	108963484	RP11-475E11.9	protein_coding
109668021	109709549	GSTM2	protein_coding
109687844	109708685	GSTM1	protein_coding
109828354	109871436	RP4-735C1.6	lincRNA
111542217	111713113	RAP1A	protein_coding
111770661	111982796	KCND3	protein_coding
112541789	112619189	ST7L	protein_coding
112850027	112877871	RP3-522D1.1	lincRNA
112956823	113047051	SLC16A1-AS1	antisense
113390748	113682434	MAGI3	protein_coding
113390971	113685923	MAGI3	protein_coding
113761832	113812448	RSBN1	protein_coding
113765847	113812289	RSBN1	protein_coding
114392776	114511160	TRIM33	protein_coding
114397607	114511160	TRIM33	protein_coding
114855132	114995367	SYCP1	protein_coding
115050355	115089500	TSPAN2	protein_coding
115976613	116031890	SLC22A15	protein_coding
116514534	116571039	CD58	protein_coding
116574408	116667753	IGSF3	protein_coding
117025481	117059490	RP11-27K13.3	antisense
117143586	117210934	VTCN1	protein_coding
117143587	117203836	VTCN1	protein_coding
119794412	119808805	REG4	protein_coding
119911552	120069626	NOTCH2	protein_coding
121360155	121397905	SRGAP2-AS1	antisense
143905486	143934776	RP5-998N21.7	antisense
144421385	144456805	NBPF15	protein_coding
145607989	145670648	GPR89A	protein_coding
145608047	145670184	GPR89A	protein_coding
145608612	145670178	GPR89A	protein_coding
145866559	145885866	ANKRD35	protein_coding
147173384	147210075	RP11-337C18.8	antisense
147382191	147517875	LINC00624	antisense
148102046	148127288	NBPF11	protein_coding
149390622	149556361	NBPF19	protein_coding
149677497	149747812	RP11-353N4.5	lincRNA
150067311	150145327	VPS45	protein_coding
150364649	150476566	RPRD2	protein_coding
151254702	151267479	PSMD4	protein_coding
151638855	151693601	SNX27	protein_coding
151771563	151790522	TDRKH	protein_coding
151773478	151790479	TDRKH	protein_coding
152511534	152601016	LCE3C	protein_coding
153804724	153922975	GATAD2B	protein_coding
153809809	153922030	GATAD2B	protein_coding
154697473	154870278	KCNN3	protein_coding
154707425	154859843	KCNN3	protein_coding
155051285	155062758	ADAM15	protein_coding
155051285	155062758	ADAM15	protein_coding
155308888	155320647	FDPS	protein_coding
155687966	155738526	DAP3	protein_coding
155689057	155739010	DAP3	protein_coding
155689082	155738526	DAP3	protein_coding
155689090	155738971	DAP3	protein_coding
155689093	155721989	DAP3	protein_coding
155750331	155857295	GON4L	protein_coding
155764426	155857204	GON4L	protein_coding
155946850	155978160	ARHGEF2	protein_coding
156463726	156500828	MEF2D	protein_coding
157513376	157552520	FCRL5	protein_coding
157531963	157552455	FCRL5	protein_coding
157676481	157700857	FCRL3	protein_coding
157794860	157820105	FCRL1	protein_coding
157993609	158095653	KIRREL	protein_coding
158465561	158466503	OR10K1	protein_coding
160151569	160186977	ATP1A4	protein_coding
160548246	160579504	CD84	protein_coding
161215278	161220699	FCER1G	protein_coding
161314256	161375340	SDHC	protein_coding
161766293	161964070	ATF6	protein_coding
162790722	162793052	HSD17B7	protein_coding
163142303	163203113	RGS5	protein_coding
163161674	163213023	RP11-267N12.1	antisense
163300662	163321752	RGS5	antisense
166975581	167022213	MAEL	protein_coding
167094044	167129129	DUSP27	protein_coding
167094339	167128608	DUSP27	protein_coding
167630092	167706249	RCSD1	protein_coding
167936660	168075843	DCAF6	protein_coding
167936707	168075834	DCAF6	protein_coding
168903904	169087005	LINC00970	antisense
169463908	169486003	SLC19A2	protein_coding
169589513	169630076	SELP	protein_coding
169921330	170074738	KIFAP3	protein_coding
170935470	171064765	MROH9	protein_coding
171485555	171593511	PRRC2C	protein_coding
173931213	174022297	RC3H1	protein_coding
174159409	174548561	RABGAP1L	protein_coding
177393678	177597709	RP1-35C21.2	lincRNA
178341470	178484147	RASAL2	protein_coding
178513076	178522649	TEX35	protein_coding
178513143	178523431	TEX35	protein_coding
178725164	178920103	RALGPS2	protein_coding
179107717	179229397	ABL2	protein_coding
179110580	179229684	ABL2	protein_coding
179550538	179575933	NPHS2	protein_coding
179550538	179575952	NPHS2	protein_coding
179954737	180114880	CEP350	protein_coding
181483579	181801580	CACNA1E	protein_coding
181483744	181798959	CACNA1E	protein_coding
181483744	181806778	CACNA1E	protein_coding
181483744	181806778	CACNA1E	protein_coding
182054569	182061712	ZNF648	protein_coding
183248236	183418602	NMNAT2	protein_coding
185734550	186190949	HMCN1	protein_coding
186375837	186421378	C1orf27	protein_coding
186375868	186421378	C1orf27	protein_coding
186828952	186988981	PLA2G4A	protein_coding
190097661	190477882	BRINP3	protein_coding
192517638	192567217	RP5-1011O1.2	antisense
193059421	193084881	TROVE2	protein_coding
193059453	193091219	TROVE2	protein_coding
193060056	193091777	TROVE2	protein_coding
197268203	197478454	CRB1	protein_coding
197268277	197478455	CRB1	protein_coding
198639039	198757283	PTPRC	protein_coding
200406729	200409992	ZNF281	protein_coding
201190824	201228952	IGFN1	protein_coding
202727442	202808418	KDM5B	protein_coding
203127707	203167405	ADORA1	protein_coding
203626786	203744079	ATP2B4	protein_coding
203795670	203852420	ZC3H11A	protein_coding
203814904	203854118	ZC3H11A	protein_coding
204221220	204359916	PLEKHA6	protein_coding
204603034	204616565	RP11-430C7.4	antisense
204944250	205016938	NFASC	protein_coding
205228175	205273343	TMCC2	protein_coding
205228930	205273342	TMCC2	protein_coding
205381377	205422054	LEMD1	protein_coding
205381377	205449931	LEMD1	protein_coding
205381377	205455954	LEMD1	protein_coding
205913053	205943460	SLC26A9	protein_coding
206175059	206177246	RP11-38J22.1	lincRNA
206828876	206842622	IL19	protein_coding
206958119	206970600	FCAMR	protein_coding
207088841	207099993	C4BPB	protein_coding
207089237	207099993	C4BPB	protein_coding
207321642	207360966	CD55	protein_coding
209938173	210162223	SYT14	protein_coding
209938250	210162326	SYT14	protein_coding
210328251	210676296	HHAT	protein_coding
210329299	210676296	HHAT	protein_coding
211259278	211314591	RCOR3	protein_coding
211382802	211435333	LINC00467	lincRNA
212035576	212105006	DTL	protein_coding
212285536	212361863	PPP2R5A	protein_coding
212565333	212620772	ATF3	protein_coding
212726152	212791581	NSL1	protein_coding
213051232	213273464	RPS6KC1	protein_coding
213051232	213273464	RPS6KC1	protein_coding
214281232	214337131	SMYD2	protein_coding
215567391	215621807	KCTD3	protein_coding
216503245	216715253	ESRRG	protein_coding
216503245	216723472	ESRRG	protein_coding
216505489	216939670	ESRRG	protein_coding
218346234	218444619	TGFB2	protein_coding
220057481	220089853	BPNT1	protein_coding
220528182	220664456	MARK1	protein_coding
222668012	222712524	AIDA	protein_coding
222669606	222712428	AIDA	protein_coding
222815058	222837382	RP11-452F19.3	lincRNA
222815063	222994906	RP11-455P21.3	lincRNA
223541608	223665734	CAPN8	protein_coding
224114110	224158150	FBXO28	protein_coding
224227333	224330387	NVL	protein_coding
224227453	224330139	NVL	protein_coding
225486834	225653142	ENAH	protein_coding
225700603	225752243	RP11-145A3.1	antisense
228208129	228378874	OBSCN	protein_coding
228208129	228378876	OBSCN	protein_coding
228458106	228460470	HIST3H2BB	protein_coding
230906242	230978859	TTC13	protein_coding
231162969	231217024	TRIM67	protein_coding
231337103	231353132	SPRTN	protein_coding
235367359	235448968	TBCE	protein_coding
235975829	236065162	NID1	protein_coding
236395415	236484914	EDARADD	protein_coding
240329143	240475183	FMN2	protein_coding
240775513	241098764	RGS7	protein_coding
240776162	241098762	RGS7	protein_coding
241532133	241592288	KMO	protein_coding
241532133	241595642	KMO	protein_coding
243124427	243255321	CEP170	protein_coding
243124892	243156821	CEP170	protein_coding
243499718	243843584	AKT3	protein_coding
243499719	243843282	AKT3	protein_coding
243501762	243850128	AKT3	protein_coding
244835321	244845057	COX20	protein_coding
244840637	244846903	HNRNPU-AS1	antisense
245511001	245709431	KIF26B	protein_coding
247565638	247640854	RP11-978I15.10	antisense
29553	31097	RP11-34P13.3	lincRNA
69090	70008	OR4F5	protein_coding
182392	184158	FO538757.3	protein_coding
184926	200322	FO538757.2	protein_coding
187890	187958	MIR6859-2	miRNA
200879	201017	FO538757.1	miRNA
450739	451678	OR4F29	protein_coding
476530	497259	RP4-669L17.10	lincRNA
476737	489710	RP4-669L17.10	lincRNA
484831	495476	RP4-669L17.10	lincRNA
630895	630958	AC114498.1	miRNA
632324	632413	MIR6723	miRNA
760910	761989	RP11-206L10.4	antisense
778769	784690	RP11-206L10.9	lincRNA
817370	819837	FAM87B	lincRNA
827660	852090	LINC01128	processed_transcript
827672	853626	LINC01128	processed_transcript
925740	944581	SAMD11	protein_coding
966501	975008	PLEKHN1	protein_coding
998963	1000111	HES4	protein_coding
1001137	1014541	ISG15	protein_coding
1011996	1013193	RP11-54O7.11	antisense
1062207	1063288	RP11-54O7.18	lincRNA
1081817	1116081	C1orf159	protein_coding
1082699	1106127	C1orf159	protein_coding
1169356	1170343	RP11-465B22.8	lincRNA
1216907	1232001	SDF4	protein_coding
1216930	1232031	SDF4	protein_coding
1242452	1246722	FAM132A	protein_coding
1281177	1292029	SCNN1D	protein_coding
1282108	1292024	SCNN1D	protein_coding
1311584	1324687	CPSF3L	protein_coding
1311605	1324637	CPSF3L	protein_coding
1311605	1324653	CPSF3L	protein_coding
1335275	1349350	DVL1	protein_coding
1352690	1358535	MXRA8	protein_coding
1352691	1361777	MXRA8	protein_coding
1373729	1375495	AURKAIP1	protein_coding
1386494	1399312	CCNL2	protein_coding
1405459	1405752	RN7SL657P	misc_RNA
1418419	1421769	ANKRD65	protein_coding
1418879	1421091	ANKRD65	protein_coding
1419137	1421260	ANKRD65	protein_coding
1512150	1534685	ATAD3A	protein_coding
1615420	1630610	MIB2	protein_coding
1615904	1630604	MIB2	protein_coding
1617559	1630604	MIB2	protein_coding
1632180	1701810	MMP23B	protein_coding
1635586	1659012	CDK11B	protein_coding
1635737	1659012	CDK11B	protein_coding
1659324	1662602	RP11-345P4.10	antisense
1661477	1692644	SLC35E2B	protein_coding
1661478	1692728	SLC35E2B	protein_coding
1724837	1745919	SLC35E2	protein_coding
1751231	1780069	NADK	protein_coding
1891470	1892658	RP1-140A9.1	antisense
1917589	1918797	TMEM52	protein_coding
2019323	2030751	GABRD	protein_coding
2403963	2412530	PEX10	protein_coding
2493436	2494479	RP3-395M20.3	antisense
2508532	2526628	PANK4	protein_coding
2581559	2584533	RP3-395M20.9	lincRNA
2586795	2589947	FAM213B	protein_coding
2811849	2812692	RP11-740P5.2	lincRNA
3021482	3022903	ACTRT2	protein_coding
3454425	3481113	ARHGEF16	protein_coding
3560694	3560790	MIR551A	miRNA
3630766	3650058	WRAP73	protein_coding
3690671	3733292	TP73	protein_coding
3773062	3775670	SMIM1	protein_coding
3778557	3796504	LRRC47	protein_coding
3857603	3883741	DFFB	protein_coding
3900403	3917225	LINC01134	lincRNA
4412050	4424687	RP5-1166F10.1	lincRNA
4892067	4892162	AL137795.1	miRNA
5564070	5564143	MIR4417	miRNA
5862671	5862741	MIR4689	miRNA
6046113	6098855	KCNAB2	protein_coding
6185019	6199612	RPL22	protein_coding
6204839	6205780	RP1-120G22.11	antisense
6237770	6239444	LINC00337	lincRNA
6429833	6429896	MIR4252	miRNA
6443033	6447006	RP1-202O8.2	antisense
6448042	6460398	ESPN	protein_coding
6461150	6466175	TNFRSF25	protein_coding
6461150	6466195	TNFRSF25	protein_coding
6466091	6497096	PLEKHG5	protein_coding
6467121	6491700	PLEKHG5	protein_coding
6590723	6603001	KLHL21	protein_coding
6613684	6624033	PHF13	protein_coding
6625180	6633368	THAP3	protein_coding
6625191	6635586	THAP3	protein_coding
6724672	6729989	RP11-242F24.1	lincRNA
6783891	6784843	RP11-312B8.1	antisense
7219359	7219524	RNU1-8P	snRNA
7264192	7264277	Z98052.1	miRNA
7368941	7370270	CAMTA1-IT1	sense_intronic
7693123	7694844	RP11-338N10.1	lincRNA
7700703	7700970	RP11-338N10.3	lincRNA
7772706	7779806	VAMP3	protein_coding
7784428	7845176	PER3	protein_coding
7784653	7845177	PER3	protein_coding
7810241	7827342	RP3-467L1.4	antisense
7843082	7853512	UTS2	protein_coding
7847765	7853431	UTS2	protein_coding
7915893	7943165	TNFRSF9	protein_coding
7919846	7940866	TNFRSF9	protein_coding
7961700	7985281	PARK7	protein_coding
7982880	7982983	Y_RNA	misc_RNA
8013426	8015633	ERRFI1	protein_coding
8013738	8026296	ERRFI1	protein_coding
8206433	8206597	RNU1-7P	snRNA
8512984	8513065	AL096855.1	miRNA
8796570	8796673	Y_RNA	misc_RNA
8945881	8952651	CA6	protein_coding
8945886	8974444	CA6	protein_coding
9003299	9026345	SLC2A7	protein_coding
9182203	9192089	RP3-510D11.2	lincRNA
9652609	9654586	PIK3CD-AS1	antisense
9672425	9687555	PIK3CD-AS2	antisense
9710197	9727232	PIK3CD	protein_coding
9729025	9824526	CLSTN1	protein_coding
9827609	9828258	AL357140.1	protein_coding
9848275	9910263	CTNNBIP1	protein_coding
9983140	9984568	RP11-807G9.2	sense_intronic
10430101	10452153	APITD1-CORT	protein_coding
10430383	10451659	APITD1-CORT	protein_coding
10462467	10472488	DFFA	protein_coding
10639240	10654333	RP4-734G22.3	antisense
11029757	11030528	RP4-635E18.8	antisense
11068470	11073097	RP4-635E18.7	antisense
11273205	11288434	UBIAD1	protein_coding
11648366	11654682	FBXO2	protein_coding
11654374	11662289	FBXO44	protein_coding
11654856	11663327	FBXO44	protein_coding
11654909	11662291	FBXO44	protein_coding
11674479	11691650	MAD2L2	protein_coding
11691728	11725857	DRAXIN	protein_coding
11736123	11750316	AGTRAP	protein_coding
11736152	11750578	AGTRAP	protein_coding
11736174	11750633	AGTRAP	protein_coding
11806210	11843144	CLCN6	protein_coding
11847441	11847549	NPPA-AS1_3	misc_RNA
11908151	11908271	RNU5E-1	snRNA
11920182	11926403	KIAA2013	protein_coding
12029157	12029222	MIR6729	miRNA
12065001	12065246	Metazoa_SRP	misc_RNA
12125898	12144207	TNFRSF8	protein_coding
12166942	12167038	MIR7846	miRNA
12191712	12191773	MIR4632	miRNA
12464939	12512047	VPS13D	protein_coding
12481828	12481928	AC243836.1	miRNA
12507245	12507397	SNORA59A	snoRNA
12746424	12761169	C1orf158	protein_coding
12847407	12848725	HNRNPCL1	protein_coding
12916609	12920482	PRAMEF7	protein_coding
12938471	12947580	PRAMEF6	protein_coding
13049475	13056491	PRAMEF27	protein_coding
13146980	13147460	RP13-221M14.2	lincRNA
13148904	13155961	PRAMEF26	protein_coding
13254211	13263314	PRAMEF5	protein_coding
13279124	13279231	RNU6-771P	snRNA
13281167	13284169	PRAMEF8	protein_coding
13315580	13322598	PRAMEF15	protein_coding
13583830	13617957	PDPN	protein_coding
13657310	13659910	CTA-520D8.2	lincRNA
14221890	14223118	RP11-344F13.1	lincRNA
14607333	14607436	AL034395.1	miRNA
14945918	15065797	KAZN	protein_coding
15111814	15152464	TMEM51-AS1	antisense
15402978	15409433	RP3-467K16.4	lincRNA
15492269	15524295	CASP9	protein_coding
15542164	15542304	SCARNA21	scaRNA
15608077	15608145	RNU7-179P	snRNA
15617499	15669044	DDI2	protein_coding
15756658	15786594	FBLIM1	protein_coding
15834473	15848147	FLJ37453	antisense
16004235	16008807	C1orf64	protein_coding
16006159	16006671	RP11-5P18.5	antisense
16014027	16018790	HSPB7	protein_coding
16014027	16019594	HSPB7	protein_coding
16015498	16018005	HSPB7	protein_coding
16022051	16034050	CLCNKA	protein_coding
16155210	16157329	RP11-276H7.2	antisense
16424903	16437416	SPATA21	protein_coding
16440735	16460077	NECAP2	protein_coding
16514121	16514285	RNU1-1	snRNA
16666784	16666948	RNU1-3	snRNA
16733950	16734461	FAM231C	protein_coding
16855406	16859284	RP11-108M9.2	lincRNA
16858948	16859021	MIR3675	miRNA
16873707	16873851	RNU1-5P	snRNA
16921949	16972979	CROCC	protein_coding
16974501	16980835	MFAP2	protein_coding
16985957	17011915	ATP13A2	protein_coding
16995858	17011928	ATP13A2	protein_coding
17066760	17119435	PADI2	protein_coding
17205125	17246005	PADI1	protein_coding
17249097	17284233	PADI3	protein_coding
17277888	17277975	MIR3972	miRNA
18166928	18179346	RP11-174G17	antisense
18883201	18883275	MIR4695	miRNA
19074509	19082240	UBR4	protein_coding
19218147	19251522	EMC1	protein_coding
19303964	19312146	AKR7A2	protein_coding
19312340	19329300	PQLC2	protein_coding
19596978	19658056	MINOS1-NBL1	protein_coding
19645765	19658456	NBL1	protein_coding
19882512	19912945	OTUD3	protein_coding
19970968	19971269	RN7SL304P	misc_RNA
20186084	20196048	UBXN10	protein_coding
20412303	20413253	RP4-749H3.2	lincRNA
20588947	20618908	CDA	protein_coding
20651776	20661507	DDOST	protein_coding
20719731	20732640	SH2D5	protein_coding
